Noise Events,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,destinos? El que hace mas ruido es el que va a antofa,se requieren los datos de ruido de los puntos de medicion del los aeropuertos del año 2024,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Jardines del Sur,,,,,,,,,,,,,,,
"terminales (mp2, hay 3 estaciones), la dos es la mas importantes",dia y la hora en la que se registró el evento,nivel maximo de decibeles,,,,,"cuando el viento es mucho , el sensor se bloquea, cuando hay mas viento que 8 metros por segundo.",,,,,,,relacion entre el radar y la aeronave,tipo de aeronave
NMT,TLASmax,LASmax,SEL,Leq,LAZ,EPNL,Temperature [°C],A/D,Runway,Flight,Airline,Airline (Name),From/To,Callsign,Aircraft Type
,,,,,,,,,,,,,,,
MP02,16/01/2024 1:28:47,75.6,86.4,71.5,76.1,86.9,13.5,Departure,17L,IBE6832,IBE,Iberia,LEMD,IBE6832,A359
MP02,16/01/2024 1:42:46,85,93.5,77.9,83.2,95,13.2,Departure,17L,LCO1108,LCO,LAN Cargo,KMIA,LCO1108,B763
MP02,16/01/2024 1:47:25,80.5,89.8,74,79.8,90.9,13.1,Departure,17L,CMP276,CMP,Copa Airlines,MPTO,CMP276,B738
MP02,16/01/2024 1:53:21,77.8,86.9,71.8,77.7,87.4,13,Departure,17L,AVA240,AVA,Avianca,SKBO,AVA240,A319
MP02,16/01/2024 1:55:18,81.9,91.1,76,80.6,91.6,13,Departure,17L,TAM8049,TAM,TAM Linhas Aereas,SBGR,TAM8049,A321
MP02,16/01/2024 2:00:14,81.9,90.7,75.4,80.6,92.3,12.9,Departure,17L,CMP118,CMP,Copa Airlines,MPTO,CMP118,B738
MP02,16/01/2024 2:20:52,71.9,79,67.1,68.7,84.5,12.6,Departure,17L,CCACV,CCA,Air China,SCAT,CCACV,BE20
MP02,16/01/2024 2:29:39,74.7,84.1,70.2,73.4,84.5,12.4,Departure,17L,CCAYB,CCA,Air China,KMCO,CCAYB,GLF5
MP02,16/01/2024 4:16:44,72.4,83.3,68.9,73.5,85.6,11.5,Departure,17L,SKU300,SKU,Sky Airline,SCAR,SKU300,A20N
MP02,16/01/2024 4:31:49,72.4,83.1,68.7,73.3,85.4,11.5,Departure,17L,SKU320,SKU,Sky Airline,SCDA,SKU320,A20N
MP02,16/01/2024 4:40:30,74.4,83.7,68.9,75.5,86,11.3,Departure,17L,SKU270,SKU,Sky Airline,SCFA,SKU270,A20N
MP02,16/01/2024 4:42:39,77.5,88.1,73.6,76.8,90.3,11.3,Departure,17L,LAN188,LAN,LAN Airlines,SCAR,LAN188,A320
MP02,16/01/2024 4:44:57,81.4,89.5,75,79.3,90.4,11.3,Departure,17L,LAN170,LAN,LAN Airlines,SCDA,LAN170,A321
MP02,16/01/2024 4:47:06,70.1,81.2,67,71.7,83.2,11.3,Departure,17L,SKU240,SKU,Sky Airline,SCCF,SKU240,A20N
MP02,16/01/2024 4:49:07,82.4,91,76.6,80.2,92.8,11.2,Departure,17L,LAN057,LAN,LAN Airlines,SCTE,LAN057,A321
MP02,16/01/2024 4:51:57,79.4,89.2,75.1,77.6,90.4,11.2,Departure,17L,LXP384,LXP,,SCCF,LXP384,A321
MP02,16/01/2024 4:59:49,80.1,88.6,74.3,79,89.5,11,Departure,17L,LXP340,LXP,,SCFA,LXP340,A321
MP02,16/01/2024 5:10:56,83.6,92,77.9,81.4,93.9,11,Departure,17L,LAN081,LAN,LAN Airlines,SCCI,LAN081,A321
MP02,16/01/2024 5:12:27,77.8,86.4,72.9,75.7,87.9,10.9,Departure,17L,JAT034,JAT,JAT Airways,SCCF,JAT034,A21N
MP02,16/01/2024 5:19:18,75.2,84.6,71.3,73.6,85.8,10.9,Departure,17L,JAT050,JAT,JAT Airways,SCFA,JAT050,A20N
MP02,16/01/2024 5:21:27,77.3,87.3,72.9,77,88.4,10.9,Departure,17L,LXP374,LXP,,SCCF,LXP374,A320
MP02,16/01/2024 5:33:53,77.3,87,72.2,76.9,87.9,10.8,Departure,17L,LAN142,LAN,LAN Airlines,SCCF,LAN142,A321
MP02,16/01/2024 5:35:30,66.8,75.3,64.3,66.3,79.2,10.7,Departure,17L,CCCYB,CCC,,SCIE,CCCYB,PAY2
MP02,16/01/2024 5:39:33,81.4,90.5,75,80.5,92.6,10.7,Departure,17L,CMP396,CMP,Copa Airlines,MPTO,CMP396,B738
MP02,16/01/2024 5:41:06,76.1,86.7,71.4,76.8,88.6,10.7,Departure,17L,SKU620,SKU,Sky Airline,SBGL,SKU620,A320
MP02,16/01/2024 5:45:15,77.4,87.2,72.1,77.3,89.4,11,Departure,17L,JAT750,JAT,JAT Airways,SBGL,JAT750,A320
MP02,16/01/2024 5:46:37,76.2,86.7,71.5,76.8,87.8,11,Departure,17L,JAT760,JAT,JAT Airways,SUMU,JAT760,A320
MP02,16/01/2024 5:47:55,76.9,85.6,72.3,74.8,86.9,11,Departure,17L,JAT191,JAT,JAT Airways,SCTE,JAT191,A20N
MP02,16/01/2024 5:52:11,72.4,83.1,68.8,73.5,85.6,11,Departure,17L,SKU272,SKU,Sky Airline,SCFA,SKU272,A20N
MP02,16/01/2024 5:54:26,73.1,83.1,69,73.7,85.4,11.1,Departure,17L,SKU640,SKU,Sky Airline,SUMU,SKU640,A20N
MP02,16/01/2024 5:56:35,76.9,88.2,72.2,78.5,90.3,11.2,Departure,17L,LTG8491,LTG,,SBKP,LTG8491,B763
MP02,16/01/2024 5:59:14,80.1,88.9,74.2,78.4,91.1,11.3,Departure,17L,LXP251,LXP,,SCNT,LXP251,A320
MP02,16/01/2024 6:00:22,80.9,90.3,74.6,80.7,92.2,11.3,Departure,17L,CMP174,CMP,Copa Airlines,MPTO,CMP174,B738
MP02,16/01/2024 6:02:36,77.6,87.4,72.3,77.8,88.7,11.3,Departure,17L,LAN864,LAN,LAN Airlines,SLVR,LAN864,A320
MP02,16/01/2024 7:16:57,66,78.6,63.2,72.1,79.5,10.7,Departure,17R,LTG9834,LTG,,KMIA,LTG9834,B763
MP02,16/01/2024 8:08:56,65.7,72.3,63,63.5,72.3,13,Departure,17R,LAN031,LAN,LAN Airlines,SCQP,LAN031,A320
MP02,16/01/2024 9:16:21,65,72.9,61.8,65.5,73.4,16.9,Departure,17R,ACA93,ACA,Air Canada,CYYZ,ACA93,B789
MP02,16/01/2024 9:21:56,74.5,81,69.1,70.3,86.1,17.4,Departure,17L,CCCYT,CCC,,SCIR,CCCYT,PAY2
MP02,16/01/2024 9:26:15,66.3,79.4,63.4,72.7,80.9,17.4,Departure,17R,DAE1560,DAE,DHL Aero Expreso,KMIA,DAE1560,B763
MP02,16/01/2024 10:10:47,73.9,83.7,69.6,73.7,86.3,19.7,Departure,17L,SKU121,SKU,Sky Airline,SCVD,SKU121,A20N
